,nome,cpf,idade,data,endereco,estado,pais
0,Larissa Vieira,167.408.539-75,25,29/12/1999,"Praia Clara Cardoso
Ermelinda
40693-718 Costa Alegre / GO",Amazonas,Brasil
1,Dom Albuquerque,018.236.945-51,48,29/10/1976,"Lago Moura, 12
Pilar
92396004 Albuquerque / ES",Maranhão,Brasil
2,Daniela Novaes,369.517.428-55,53,12/06/1972,"Avenida de Carvalho, 52
Itaipu
36258896 Silva / RR",Rondônia,Brasil
3,Milena Câmara,346.912.850-24,53,09/10/1971,"Setor Maria Isis Marques, 73
Santa Tereza
20684590 da Mota / MA",Paraná,Brasil
4,Leandro Pinto,078.132.546-35,19,11/08/2005,"Estrada de Castro, 8
Europa
69239-281 Azevedo / AP",Acre,Brasil
5,Emanuelly da Conceição,590.437.612-06,56,22/02/1969,"Rua de da Conceição, 27
São Paulo
84162812 Rodrigues Alegre / PE",Pará,Brasil
6,Esther Ribeiro,082.715.493-32,18,23/03/2007,"Setor Lucas Gabriel Cavalcante, 918
Vila São Geraldo
61895-842 Albuquerque Alegre / AM",Rondônia,Brasil
7,Emanuel Camargo,168.027.935-12,53,30/03/1972,"Estação de Cirino, 3
Santa Isabel
81572129 Fonseca / CE",Alagoas,Brasil
8,Dr. Davi Miguel Macedo,718.096.234-13,31,05/05/1994,"Favela de Guerra
Vitoria
05929-160 Machado / RR",Paraíba,Brasil
9,Srta. Maria Alice Cavalcante,963.417.058-75,23,14/07/2001,"Estrada de Pastor, 662
Horto Florestal
91644655 Aparecida Verde / PR",Paraná,Brasil
